user,user2int,lec,#run,#action,err_incomplete,err_without_ct,err_etc
51zLoXaK,14141,409,13,36,0,0,11
mzlToVL4,14142,409,3,19,0,0,1
JsA33WDs,14143,409,1,7,0,0,0
pPex9uZM,14144,409,1,8,0,0,0
nOSi1WYz,14145,409,2,6,0,0,0
FHmsf4yI,14146,409,5,21,0,3,1
lAfIk3qu,14147,409,7,44,0,0,6
QSXMkEPo,14148,409,1,6,0,0,0
Yk04g65A,14149,409,1,7,0,0,0
r3d1UYoR,14150,409,2,19,0,1,0
amcNDcaj,14151,409,4,11,0,1,2
ulhwS78d,14152,409,1,6,0,0,0
JgdEKups,14153,409,1,6,0,0,0
e5J8jBbJ,14154,409,2,6,0,0,0
XB56gTG4,14155,409,2,19,0,0,1
zsSO0DQO,14156,409,4,19,0,0,3
7xKRiRUt,14157,409,3,13,0,0,2
B3DxhsCI,14158,409,10,37,0,0,9
YB6a8toP,14159,409,7,38,0,0,6
sx6m32R1,14160,409,2,9,0,0,1
AkqbtLgJ,14161,409,6,25,3,0,1
1xMdDNjQ,14162,409,1,7,0,0,0
GweMGDkN,14163,409,2,24,0,0,1
9eklvqsS,14164,409,63,153,5,0,55
Ur9iiDt6,14165,409,1,7,0,0,0
DyrexDvZ,14166,409,1,6,0,0,0
9Ec6OfoK,14167,409,3,15,0,0,1
8zLhYEQI,14168,409,1,6,0,0,0
HHoCUL3q,14169,409,9,39,0,1,7
LKSQFRlN,14170,409,1,7,0,0,0
LpbBnKSW,14171,409,1,8,0,0,0
D8b2zWXm,14172,409,1,6,0,0,0
EsMtLjyA,14173,409,11,32,1,0,9
inIFk4OT,14174,409,3,12,2,0,0
fUC5xrWX,14175,409,1,13,0,0,0
dq8kTAjN,14176,409,4,11,0,0,3
5nYeLvqB,14177,409,1,14,0,0,0
